local;idade;morador;BH_RMBH;uf_pais;cidade;bairro;sem_carnaval;pernoitar;quantas_pernoites;meio_de_hospedagem;transporte_chega_na_cidade;motivo_carnaval;se_nao_qual_foi;mês_viagem_bh;fonte_info_carnaval_bh;conhece_bh;motivo_viagem_1;motivo_viagem_2;motivo_viagem_3;gasto_hospedagem;gasto_atrativos;gasto_alimentacao;gasto_transporte;gasto_fatansias;gasto_compras;gasto_ingressos;gasto_outros;moeda;gasto_total;pessoas_no_gasto;gasto_percapto;dias_carnaval;gasto_medio_diario;gasto_medio_diario_per_capto;info_carnaval;carnaval_antes;opiniao_carnaval;piorou_pq;expectativas_carnaval;avaliacao_geral;banheiros;seguranca;precos;voltar_carnaval;se_nao_pq;alem_dos_blocos_1;alem_dos_blocos_2;alem_dos_blocos_3;alem_dos_blocos_4;alem_dos_blocos_5;patrocinador;genero;escolaridade;estado_civil;renda;transporte_blocos_1;transporte_blocos_2;transporte_blocos_3;apoio_LGBTQIA;faz_parte_LGBTQIA;data
SEXTA NINGUEM SABE;61;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Lourdes;Sim;;;;;;;;;;;;;;;300;0;400;400;0;0;Real;1100.00;1.00;1100.00;4.00;275.00;275;Instagram;Sim;Melhorou;;Atendeu plenamente;8;4;7;2;Sim;;Precarnaval;;;;;Prefeitura;Feminino;Posgraduacao/ Mestrado/ Doutorado completo;Casado(a);Acima de 10 SM (R$ 13.02001);A pe;;;Sim;Nao;17/02/2023
RODA DE TIMBAU;30;Visitante;Interior de Minas;Minas Gerais;ITAOBIM;;;Sim;5;Casa de Amigos/Parentes;Carro/Moto;Sim;;Fevereiro;Internet;Sim;Trabalho;Lazer;;0;200;2500;300;0;0;300;0;Real;3300.00;1.00;3300.00;5.00;660.00;660;Instagram;Nao;;;Atendeu plenamente;9;9;9;8;Sim;;Eventos Privados;;;;;Prefeitura;Masculino;Posgraduacao/ Mestrado/ Doutorado completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);A pe;;;Sim;Sim;17/02/2023
SEXTA NINGUEM SABE;56;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Gutierrez;Sim;;;;;;;;;;;;;;;500;200;0;600;0;0;Real;1300.00;1.00;1300.00;4.00;325.00;325;Outros sites;Sim;NR_NS;;NR_NS;8;6;6;5;Sim;;Precarnaval;;;;;Prefeitura;Feminino;Ensino Medio completo;Solteiro(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);A pe;Aplicativos (Uber/99/InDrive);;Sim;Nao;17/02/2023
SEXTA NINGUEM SABE;18;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Goiania;Sim;;;;;;;;;;;;;;;60;100;50;250;0;0;Real;460.00;1.00;460.00;5.00;92.00;92;Twitter;Nao;;;Superou;10;10;6;5;Sim;;Eventos Privados;Desfiles de Escolas de Samba (terca  Av. Afonso Pena);Desfiles de Blocos Caricatos (segundaAv. Afonso Pena);;;Nao sabe;Masculino;Ensino Medio completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Onibus coletivo;;;Sim;Sim;17/02/2023
RODA DE TIMBAU;37;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Buritis;Sim;;;;;;;;;;;;;;;750;150;0;0;0;0;Real;900.00;2.00;450.00;5.00;180.00;90;www.portalbelohorizonte.com.br;Sim;Nem melhorou nem piorou;;Atendeu plenamente;10;7;7;8;Sim;;Precarnaval;Eventos Privados;;;;Nao sabe;Masculino;Posgraduacao/ Mestrado/ Doutorado completo;Casado(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);Aplicativos (Uber/99/InDrive);;;Sim;Sim;17/02/2023
SEXTA NINGUEM SABE;23;Morador;RMBH;Minas Gerais;IBIRITE;;Sim;;;;;;;;;;;;;;;150;40;0;0;0;100;Real;290.00;1.00;290.00;4.00;72.50;72.50;Outros sites;Sim;Nem melhorou nem piorou;;Atendeu plenamente;8;2;8;2;Sim;;Precarnaval;;;;;Ambev;Masculino;Ensino Medio completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);A pe;Aplicativos (Uber/99/InDrive);Onibus coletivo;Sim;Nao;17/02/2023
RODA DE TIMBAU;31;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Havai;Sim;;;;;;;;;;;;;;;750;250;1000;0;0;0;Real;2000.00;1.00;2000.00;5.00;400.00;400;Instagram;Sim;NR_NS;;NR_NS;9;6;6;6;Sim;;Nenhuma;;;;;Nao sabe;Feminino;Posgraduacao/ Mestrado/ Doutorado completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Aplicativos (Uber/99/InDrive);;;Sim;Sim;17/02/2023
SEXTA NINGUEM SABE;22;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Jardim America;Sim;;;;;;;;;;;;;;;200;40;60;150;0;0;Real;450.00;1.00;450.00;4.00;112.50;112.50;Instagram;Sim;Nem melhorou nem piorou;;Atendeu plenamente;10;2;3;3;Sim;;Precarnaval;;;;;Nao sabe;Feminino;Ensino Medio completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Onibus coletivo;Aplicativos (Uber/99/InDrive);Metro;Sim;Sim;17/02/2023
RODA DE TIMBAU;68;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Colegio Batista;Sim;;;;;;;;;;;;;;;400;500;0;0;0;0;Real;900.00;1.00;900.00;8.00;112.50;112.50;www.portalbelohorizonte.com.br;Sim;Nem melhorou nem piorou;;Atendeu em parte;7;1;1;8;Sim;;Precarnaval;Poscarnaval;;;;Ambev;Feminino;Posgraduacao/ Mestrado/ Doutorado completo;Divorciado(a);Acima de 10 SM (R$ 13.02001);Aplicativos (Uber/99/InDrive);;;Sim;Nao;17/02/2023
SEXTA NINGUEM SABE;22;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Calafate;Sim;;;;;;;;;;;;;;;40;40;0;100;0;0;Real;180.00;1.00;180.00;5.00;36.00;36;Amigos/Parentes;Sim;Nem melhorou nem piorou;;NR_NS;8;999999;10;6;Sim;;Precarnaval;Desfiles de Escolas de Samba (terca  Av. Afonso Pena);;;;Brahma;Masculino;Ensino Medio completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);A pe;Aplicativos (Uber/99/InDrive);Onibus coletivo;Sim;Sim;17/02/2023
