local;idade;morador;BH_RMBH;uf_pais;cidade;bairro;sem_carnaval;pernoitar;quantas_pernoites;meio_de_hospedagem;transporte_chega_na_cidade;motivo_carnaval;se_nao_qual_foi;mês_viagem_bh;fonte_info_carnaval_bh;conhece_bh;motivo_viagem_1;motivo_viagem_2;motivo_viagem_3;gasto_hospedagem;gasto_atrativos;gasto_alimentacao;gasto_transporte;gasto_fatansias;gasto_compras;gasto_ingressos;gasto_outros;moeda;gasto_total;pessoas_no_gasto;gasto_percapto;dias_carnaval;gasto_medio_diario;gasto_medio_diario_per_capto;info_carnaval;carnaval_antes;opiniao_carnaval;piorou_pq;expectativas_carnaval;avaliacao_geral;banheiros;seguranca;precos;voltar_carnaval;se_nao_pq;alem_dos_blocos_1;alem_dos_blocos_2;alem_dos_blocos_3;alem_dos_blocos_4;alem_dos_blocos_5;patrocinador;genero;escolaridade;estado_civil;renda;transporte_blocos_1;transporte_blocos_2;transporte_blocos_3;apoio_LGBTQIA;faz_parte_LGBTQIA;data
QUANDO COME SE LAMBUZA;43;Morador;RMBH;Minas Gerais;SANTA LUZIA;;Sim;;;;;;;;;;;;;;;30;20;10;70;0;0;Real;130.00;3.00;43.33;2.00;65.00;21.67;Instagram;Sim;Melhorou;;Superou;10;7;10;5;Sim;;Nenhuma;;;;;Senac;Feminino;Ensino Medio completo;Solteiro(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);Onibus coletivo;;;Sim;Nao;18/02/2023
QUANDO COME SE LAMBUZA;18;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Sao Gabriel;Sim;;;;;;;;;;;;;;;10;5;50;999999;999999;999999;Real;65.00;1.00;65.00;4.00;16.25;16.25;Instagram;Sim;Nem melhorou nem piorou;;Atendeu em parte;7;2;1;4;Sim;;Nenhuma;;;;;Nao respondeu;Feminino;Ensino Medio completo;Solteiro(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);Onibus coletivo;;;Sim;Nao;18/02/2023
TCHANZINHO ZONA NORTE;37;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Uniao;Sim;;;;;;;;;;;;;;;0;50;0;0;0;0;Real;50.00;5.00;10.00;3.00;16.67;3.33;www.portalbelohorizonte.com.br;Nao;;;Atendeu plenamente;9;10;10;8;Sim;;Nenhuma;;;;;Nao sabe;Feminino;Ensino Superior completo;Solteiro(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);Veiculo Proprio;;;Sim;Nao;18/02/2023
QUANDO COME SE LAMBUZA;22;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Ouro Preto;Nao;;;;;;;;;;;;;;;10;5;100;20;999999;999999;Real;135.00;1.00;135.00;4.00;33.75;33.75;Instagram;Sim;Piorou;Desorganizacao;Atendeu em parte;8;7;5;3;Sim;;Nenhuma;;;;;Nao respondeu;Outros;Ensino Medio completo;Solteiro(a);Ate 1 SM (R$ 1.30200);Onibus coletivo;;;Sim;Sim;18/02/2023
TCHANZINHO ZONA NORTE;22;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Rio Branco;Nao;;;;;;;;;;;;;;;100;100;30;0;0;0;Real;230.00;1.00;230.00;4.00;57.50;57.50;www.portalbelohorizonte.com.br;Sim;Nem melhorou nem piorou;;Atendeu plenamente;8;6;8;5;Sim;;Nenhuma;;;;;Prefeitura;Feminino;Ensino Superior completo;Solteiro(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);Veiculo Proprio;;;Sim;Nao;18/02/2023
QUANDO COME SE LAMBUZA;18;Morador;RMBH;Minas Gerais;CONTAGEM;;Nao;;;;;;;;;;;;;;;999999;80;999999;999999;999999;999999;Real;80.00;1.00;80.00;2.00;40.00;40;NR_NS;Nao;;;Atendeu em parte;5;1;7;999999;Sim;;Nenhuma;;;;;Nao respondeu;Masculino;Ensino Medio completo;Solteiro(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);Onibus coletivo;;;Sim;Nao;18/02/2023
QUANDO COME SE LAMBUZA;16;Morador;RMBH;Minas Gerais;CONTAGEM;;Sim;;;;;;;;;;;;;;;999999;999999;999999;999999;999999;999999;Real;0.00;1.00;0.00;3.00;0.00;0;Amigos/Parentes;Nao;;;Atendeu plenamente;10;3;5;5;Sim;;Nenhuma;;;;;Nao respondeu;Feminino;Ensino Fundamental completo;Solteiro(a);NR_NS;Onibus coletivo;;;Sim;Sim;18/02/2023
BLOCO DA CALIXTO;21;Visitante;Interior de Minas;Minas Gerais;SETE LAGOAS;;;Sim;2;Casa de Amigos/Parentes;Carro/Moto;Sim;;Fevereiro;Amigos/Parentes;Sim;Visitar amigos e parentes;;;999999;500;100;150;70;150;999999;999999;Real;970.00;1.00;970.00;2.00;485.00;485;Amigos/Parentes;Sim;NR_NS;;Superou;10;10;10;7;Sim;;Nenhuma;;;;;Nao sabe;Masculino;Ensino Medio completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;26;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;California;Nao;;;;;;;;;;;;;;;250;200;0;0;0;0;Real;450.00;1.00;450.00;4.00;112.50;112.50;www.portalbelohorizonte.com.br;Sim;Melhorou;;Atendeu plenamente;8;7;6;9;Sim;;Eventos Privados;;;;;Nao respondeu;Feminino;Ensino Tecnico completo;Casado(a);Acima de 10 SM (R$ 13.02001);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
QUANDO COME SE LAMBUZA;22;Morador;RMBH;Minas Gerais;SABARA;;Sim;;;;;;;;;;;;;;;40;15;36;40;55;0;Real;186.00;1.00;186.00;3.00;62.00;62;WhatsApp;Nao;;;Atendeu plenamente;8;4;9;7;Sim;;Eventos Privados;;;;;Prefeitura;Masculino;Ensino Medio completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Onibus coletivo;;;Sim;Sim;18/02/2023
SEU VIZINHO;32;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Sagrada Familia;Sim;;;;;;;;;;;;;;;100;100;0;100;0;0;Real;300.00;1.00;300.00;5.00;60.00;60;Amigos/Parentes;Sim;Melhorou;;Atendeu plenamente;7;3;5;4;Sim;;Precarnaval;;;;;Populacao;Feminino;Ensino Superior completo;Solteiro(a);Acima de 10 SM (R$ 13.02001);Aplicativos (Uber/99/InDrive);;;Sim;Sim;18/02/2023
QUANDO COME SE LAMBUZA;25;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Goiania;Nao;;;;;;;;;;;;;;;25;260;999999;50;999999;999999;Real;335.00;1.00;335.00;4.00;83.75;83.75;Programacao impressa;Sim;Melhorou;;Nao satisfez/decepcionou;7;2;3;5;Sim;;Eventos Privados;;;;;Amstel;Masculino;Ensino Superior completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Aplicativos (Uber/99/InDrive);;;NS/NR;Nao;18/02/2023
BLOCO DA CALIXTO;28;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;California;Sim;;;;;;;;;;;;;;;300;200;0;0;0;0;Real;500.00;2.00;250.00;4.00;125.00;62.50;www.portalbelohorizonte.com.br;Sim;Melhorou;;Atendeu plenamente;8;7;5;8;Sim;;Nenhuma;;;;;FIEMG;Masculino;Posgraduacao/ Mestrado/ Doutorado completo;Casado(a);Acima de 10 SM (R$ 13.02001);Aplicativos (Uber/99/InDrive);;;Sim;Sim;18/02/2023
TCHANZINHO ZONA NORTE;55;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Ceu Azul;Nao;;;;;;;;;;;;;;;300;60;0;0;0;0;Real;360.00;2.00;180.00;3.00;120.00;60;Outros sites;Sim;Nem melhorou nem piorou;;Superou;10;5;8;2;Sim;;Nenhuma;;;;;Belotur;Feminino;Ensino Medio completo;Casado(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Veiculo Proprio;;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;26;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Nova Suissa;Sim;;;;;;;;;;;;;;;100;200;999999;50;999999;999999;Real;350.00;1.00;350.00;3.00;116.67;116.67;WhatsApp;Nao;;;Superou;10;5;6;5;Sim;;Nenhuma;;;;;Brahma;Masculino;Ensino Medio completo;Solteiro(a);Acima de 10 SM (R$ 13.02001);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
SEU VIZINHO;39;Visitante;Outros Estados;Espirito Santo;VITORIA;;;Sim;1;Casa de Amigos/Parentes;Aviao;Sim;;Fevereiro;Amigos/Parentes;Sim;Trabalho;;;0;0;500;200;0;200;0;0;Real;900.00;1.00;900.00;2.00;450.00;450;Amigos/Parentes;Sim;Melhorou;;Nao satisfez/decepcionou;9;5;10;8;Sim;;Nenhuma;;;;;Populacao;Masculino;Ensino Superior completo;Solteiro(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);Aplicativos (Uber/99/InDrive);;;Sim;Sim;18/02/2023
QUANDO COME SE LAMBUZA;42;Morador;RMBH;Minas Gerais;SABARA;;Nao;;;;;;;;;;;;;;;2000;500;200;2000;1000;400;Real;6100.00;2.00;3050.00;2.00;3050.00;1525;Instagram;Nao;;;Atendeu em parte;7;1;1;6;NR_NS;;Nenhuma;;;;;Ambev;Masculino;Ensino Medio completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Onibus coletivo;;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;32;Morador;RMBH;Minas Gerais;SANTA LUZIA;;Nao;;;;;;;;;;;;;;;500;120;200;0;0;0;Real;820.00;1.00;820.00;4.00;205.00;205;Instagram;Sim;Melhorou;;Superou;7;5;9;6;Sim;;Precarnaval;;;;;Prefeitura;Masculino;Posgraduacao/ Mestrado/ Doutorado completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
QUANDO COME SE LAMBUZA;27;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Sao Francisco;Nao;;;;;;;;;;;;;;;999999;30;100;999999;999999;999999;Real;130.00;1.00;130.00;3.00;43.33;43.33;Instagram;Nao;;;Superou;7;3;10;999999;Sim;;Eventos Privados;;;;;Ambev;Feminino;Ensino Superior completo;Solteiro(a);Ate 1 SM (R$ 1.30200);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
QUANDO COME SE LAMBUZA;29;Morador;RMBH;Minas Gerais;CONTAGEM;;Sim;;;;;;;;;;;;;;;3000;300;150;3000;0;0;Real;6450.00;3.00;2150.00;4.00;1612.50;537.50;www.portalbelohorizonte.com.br;Sim;Melhorou;;Superou;10;1;6;4;Sim;;Nenhuma;;;;;Prefeitura;Masculino;Ensino Superior completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Veiculo Proprio;;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;42;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Aparecida;Nao;;;;;;;;;;;;;;;50;100;999999;150;999999;999999;Real;300.00;1.00;300.00;2.00;150.00;150;Outros sites;Sim;Nem melhorou nem piorou;;Atendeu plenamente;10;7;9;8;Sim;;Nenhuma;;;;;Nao sabe;Feminino;Ensino Superior completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;33;Morador;RMBH;Minas Gerais;CONTAGEM;;Nao;;;;;;;;;;;;;;;200;300;0;100;0;0;Real;600.00;3.00;200.00;2.00;300.00;100;Instagram;Sim;Nem melhorou nem piorou;;Atendeu plenamente;8;5;6;9;Sim;;Nenhuma;;;;;Prefeitura;Feminino;Ensino Superior completo;Solteiro(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);Veiculo Proprio;;;Sim;Sim;18/02/2023
SEU VIZINHO;38;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Caicaras;Sim;;;;;;;;;;;;;;;30;500;500;700;0;0;Real;1730.00;1.00;1730.00;5.00;346.00;346;Outros sites;Sim;NR_NS;;Atendeu plenamente;8;2;6;4;Sim;;Precarnaval;;;;;Populacao;Feminino;Ensino Superior completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Aplicativos (Uber/99/InDrive);;;Sim;Sim;18/02/2023
BLOCO DA CALIXTO;42;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Belmonte;Sim;;;;;;;;;;;;;;;800;280;300;300;0;0;Real;1680.00;2.00;840.00;4.00;420.00;210;Instagram;Nao;;;Superou;10;10;10;9;Sim;;Nenhuma;;;;;Prefeitura;Masculino;Ensino Superior completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Aplicativos (Uber/99/InDrive);;;Sim;Sim;18/02/2023
SEU VIZINHO;22;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Serra;Nao;;;;;;;;;;;;;;;150;100;0;150;100;0;Real;500.00;1.00;500.00;3.00;166.67;166.67;Outros sites;Sim;Nem melhorou nem piorou;;Atendeu plenamente;8;7;10;6;Sim;;Eventos Privados;;;;;Nao sabe;Feminino;Ensino Medio completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;23;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Aparecida;Sim;;;;;;;;;;;;;;;50;40;999999;50;999999;999999;Real;140.00;1.00;140.00;2.00;70.00;70;Instagram;Sim;Nem melhorou nem piorou;;Atendeu em parte;7;8;3;7;Sim;;Nenhuma;;;;;Nao sabe;Masculino;Ensino Medio completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Veiculo Proprio;;;Sim;NS/NR;18/02/2023
BLOCO DA CALIXTO;33;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Uniao;Sim;;;;;;;;;;;;;;;600;100;50;0;0;0;Real;750.00;1.00;750.00;5.00;150.00;150;Instagram;Sim;Melhorou;;Atendeu plenamente;9;7;8;7;Sim;;Eventos Privados;;;;;Brahma;Masculino;Ensino Superior completo;Solteiro(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);Aplicativos (Uber/99/InDrive);;;Sim;Sim;18/02/2023
SEU VIZINHO;29;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Serra;Sim;;;;;;;;;;;;;;;100;0;100;100;0;0;Real;300.00;1.00;300.00;3.00;100.00;100;Instagram;Sim;Melhorou;;Atendeu plenamente;10;8;8;9;Sim;;Nenhuma;;;;;Prefeitura;Feminino;Ensino Superior completo;Casado(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);A pe;Onibus coletivo;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;52;Visitante;Interior de Minas;Minas Gerais;PIRAPORA;;;Sim;6;Casa propria;Carro/Moto;Nao;Trabalho;Fevereiro;Amigos/Parentes;Sim;Lazer;;;0;1000;1000;500;300;500;200;0;Real;3500.00;4.00;875.00;4.00;875.00;218.75;Outros sites;Sim;Melhorou;;Atendeu plenamente;8;10;9;8;Sim;;Nenhuma;;;;;Prefeitura;Feminino;Ensino Superior completo;Viuvo(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);A pe;;;Sim;Nao;18/02/2023
SEU VIZINHO;32;Visitante;Interior de Minas;Minas Gerais;DIVINOPOLIS;;;Sim;7;Casa de Amigos/Parentes;Carro/Moto;Sim;;Dezembro;Amigos/Parentes;Sim;Visitar amigos e parentes;;;0;0;200;200;60;400;0;0;Real;860.00;1.00;860.00;7.00;122.86;122.86;Amigos/Parentes;Sim;NR_NS;;NR_NS;9;4;5;7;Sim;;Nenhuma;;;;;Nenhum;Feminino;Ensino Superior completo;Solteiro(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);Aplicativos (Uber/99/InDrive);Taxi;Onibus coletivo;Sim;Nao;18/02/2023
QUANDO COME SE LAMBUZA;25;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Funcionarios;Nao;;;;;;;;;;;;;;;100;0;150;0;0;0;Real;250.00;2.00;125.00;3.00;83.33;41.67;Instagram;Sim;Melhorou;;Atendeu plenamente;9;5;8;7;Sim;;Nenhuma;;;;;Prefeitura;Masculino;Posgraduacao/ Mestrado/ Doutorado completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Veiculo Proprio;;;Sim;Sim;18/02/2023
BLOCO DA CALIXTO;32;Visitante;Outros Estados;Piaui;TERESINA;;;Sim;4;Hoteis/Pousadas;Aviao;Sim;;Janeiro;Internet;Sim;Lazer;;;800;300;400;200;0;200;400;0;Real;2300.00;1.00;2300.00;4.00;575.00;575;Amigos/Parentes;Nao;;;Atendeu plenamente;10;10;10;10;Sim;;Eventos Privados;;;;;Prefeitura;Feminino;Posgraduacao/ Mestrado/ Doutorado completo;Solteiro(a);Acima de 10 SM (R$ 13.02001);A pe;;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;34;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Aparecida;Sim;;;;;;;;;;;;;;;300;200;999999;300;999999;999999;Real;800.00;3.00;266.67;3.00;266.67;88.89;Amigos/Parentes;Sim;Melhorou;;Atendeu plenamente;8;6;8;5;NR_NS;;Nenhuma;;;;;Nao sabe;Masculino;Ensino Superior completo;Solteiro(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);Aplicativos (Uber/99/InDrive);;;Sim;Sim;18/02/2023
SEU VIZINHO;34;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Minas Brasil;Sim;;;;;;;;;;;;;;;100;100;150;400;0;0;Real;750.00;1.00;750.00;5.00;150.00;150;Amigos/Parentes;Sim;Piorou;Infraestrutura geral;Superou;10;3;7;3;Sim;;Nenhuma;;;;;Nenhum;Masculino;Ensino Superior completo;Solteiro(a);Acima de 10 SM (R$ 13.02001);Metro;A pe;Onibus coletivo;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;39;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Barro Preto;Sim;;;;;;;;;;;;;;;1000;0;0;0;0;0;Real;1000.00;2.00;500.00;3.00;333.33;166.67;Instagram;Sim;NR_NS;;Atendeu plenamente;10;5;7;1;Sim;;Nenhuma;;;;;Cervejaria artesanal;Masculino;Ensino Superior completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);A pe;Veiculo Proprio;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;29;Visitante;Outros Estados;Sao Paulo;CANDIDO MOTA;;;Sim;4;Casa de Amigos/Parentes;Onibus rodoviario;Sim;;Fevereiro;Internet;Sim;Lazer;;;0;0;600;120;0;200;0;0;Real;920.00;1.00;920.00;4.00;230.00;230;Instagram;Nao;;;Superou;9;7;10;5;Sim;;Nenhuma;;;;;Prefeitura;Masculino;Ensino Superior completo;Solteiro(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);A pe;Aplicativos (Uber/99/InDrive);;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;43;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Caicaras;Sim;;;;;;;;;;;;;;;100;20;999999;200;999999;999999;Real;320.00;1.00;320.00;3.00;106.67;106.67;Outros sites;Sim;NR_NS;;Atendeu plenamente;7;5;6;3;Sim;;Nenhuma;;;;;Prefeitura;Feminino;Ensino Superior completo;Divorciado(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Onibus coletivo;;;Sim;Nao;18/02/2023
SEU VIZINHO;33;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Anchieta;Sim;;;;;;;;;;;;;;;400;250;0;1000;0;0;Real;1650.00;1.00;1650.00;5.00;330.00;330;Amigos/Parentes;Sim;Nem melhorou nem piorou;;Atendeu plenamente;8;4;7;6;Sim;;Nenhuma;;;;;Krug;Masculino;Ensino Superior completo;Solteiro(a);Acima de 10 SM (R$ 13.02001);Aplicativos (Uber/99/InDrive);Onibus coletivo;;Sim;Sim;18/02/2023
VOLTA BELCHIOR;59;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Serra Verde;Sim;;;;;;;;;;;;;;;999999;38;70;0;0;0;Real;108.00;3.00;36.00;4.00;27.00;9;Instagram;Sim;NR_NS;;NR_NS;10;10;1;1;Sim;;Nenhuma;;;;;Populacao;Feminino;Ensino Fundamental completo;Viuvo(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);Aplicativos (Uber/99/InDrive);;;Sim;Sim;18/02/2023
BLOCO DA CALIXTO;29;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Nova Suissa;Nao;;;;;;;;;;;;;;;200;50;0;100;0;0;Real;350.00;1.00;350.00;3.00;116.67;116.67;Instagram;Sim;Nem melhorou nem piorou;;Atendeu plenamente;8;6;6;6;Sim;;Nenhuma;;;;;Brahma;Masculino;Ensino Superior completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Onibus coletivo;;;Sim;Nao;18/02/2023
SEU VIZINHO;27;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Santo Antonio;Sim;;;;;;;;;;;;;;;200;100;50;150;0;0;Real;500.00;1.00;500.00;3.00;166.67;166.67;PDF da Brahma;Sim;NR_NS;;Atendeu plenamente;10;999999;8;6;Sim;;Nenhuma;;;;;Populacao;Feminino;Posgraduacao/ Mestrado/ Doutorado completo;Solteiro(a);Acima de 10 SM (R$ 13.02001);Aplicativos (Uber/99/InDrive);A pe;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;21;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Santa Monica;Sim;;;;;;;;;;;;;;;100;20;200;300;999999;999999;Real;620.00;1.00;620.00;4.00;155.00;155;Instagram;Sim;Melhorou;;Atendeu plenamente;8;4;7;5;Sim;;Nenhuma;;;;;Prefeitura;Feminino;Ensino Medio completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Onibus coletivo;;;Sim;Sim;18/02/2023
VOLTA BELCHIOR;34;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Funcionarios;Nao;;;;;;;;;;;;;;;50;100;0;0;0;0;Real;150.00;1.00;150.00;2.00;75.00;75;Twitter;Sim;NR_NS;;Atendeu plenamente;7;10;6;10;Sim;;Nenhuma;;;;;Ambev;Feminino;Ensino Superior completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;30;Morador;RMBH;Minas Gerais;CONTAGEM;;Sim;;;;;;;;;;;;;;;150;50;30;50;20;0;Real;300.00;1.00;300.00;1.00;300.00;300;Outros sites;Sim;Melhorou;;Atendeu plenamente;9;3;8;1;Sim;;Nenhuma;;;;;Nao respondeu;Feminino;Ensino Superior completo;Solteiro(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Veiculo Proprio;;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;64;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Sion;Sim;;;;;;;;;;;;;;;200;200;100;0;0;0;Real;500.00;1.00;500.00;5.00;100.00;100;www.portalbelohorizonte.com.br;Sim;Nem melhorou nem piorou;;Atendeu plenamente;8;6;8;8;Sim;;Precarnaval;;;;;Prefeitura;Feminino;Ensino Superior completo;Casado(a);Acima de 10 SM (R$ 13.02001);A pe;;;Sim;Nao;18/02/2023
SEU VIZINHO;29;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Lourdes;Sim;;;;;;;;;;;;;;;500;100;100;400;0;0;Real;1100.00;1.00;1100.00;4.00;275.00;275;Instagram;Sim;Nem melhorou nem piorou;;Atendeu plenamente;8;10;7;10;NR_NS;;Nenhuma;;;;;Ambev;Feminino;Ensino Superior completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;37;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Havai;Sim;;;;;;;;;;;;;;;150;100;999999;50;999999;999999;Real;300.00;1.00;300.00;4.00;75.00;75;Instagram;Sim;Melhorou;;Atendeu plenamente;8;8;7;8;Sim;;Nenhuma;;;;;Brahma;Feminino;Ensino Superior completo;Solteiro(a);Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600);Aplicativos (Uber/99/InDrive);;;Sim;Sim;18/02/2023
SEU VIZINHO;30;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Coracao Eucaristico;Sim;;;;;;;;;;;;;;;160;240;0;400;600;0;Real;1400.00;1.00;1400.00;4.00;350.00;350;Amigos/Parentes;Sim;Nem melhorou nem piorou;;Atendeu plenamente;8;10;8;10;Sim;;Eventos Privados;;;;;Skol;Masculino;Ensino Superior completo;Solteiro(a);Acima de 10 SM (R$ 13.02001);Aplicativos (Uber/99/InDrive);;;Sim;Sim;18/02/2023
VOLTA BELCHIOR;33;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Alto Vera Cruz;Sim;;;;;;;;;;;;;;;100;80;100;0;0;0;Real;280.00;1.00;280.00;3.00;93.33;93.33;Instagram;Sim;NR_NS;;Superou;10;4;4;5;Sim;;Nenhuma;;;;;Nao sabe;Feminino;Ensino Superior completo;Divorciado(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;32;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Estoril;Nao;;;;;;;;;;;;;;;300;300;50;0;0;0;Real;650.00;3.00;216.67;4.00;162.50;54.17;www.portalbelohorizonte.com.br;Sim;Melhorou;;Atendeu em parte;10;10;10;7;Sim;;Nenhuma;;;;;Cervejarias;Feminino;Ensino Superior completo;Casado(a);Entre 7 SM e 10 SM (R$9.11401 a R$13.02000);A pe;;;Sim;Nao;18/02/2023
BLOCO DA CALIXTO;53;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Dona Clara;Sim;;;;;;;;;;;;;;;1000;250;0;0;0;0;Real;1250.00;2.00;625.00;5.00;250.00;125;Aplicativo da prefeitura;Sim;Nem melhorou nem piorou;;Atendeu plenamente;8;4;7;8;Sim;;Nenhuma;;;;;Nao sabe;Masculino;Ensino Superior completo;Casado(a);Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400);Aplicativos (Uber/99/InDrive);;;Sim;Nao;18/02/2023
SEU VIZINHO;31;Morador;Belo Horizonte;Minas Gerais;BELO HORIZONTE;Estoril;Sim;;;;;;;;;;;;;;;200;250;0;300;0;0;Real;750.00;1.00;750.00;5.00;150.00;150;www.portalbelohorizonte.com.br;Sim;Piorou;Desorganizacao;Atendeu em parte;8;6;8;2;Sim;;Nenhuma;;;;;Nao sabe;Feminino;Ensino Superior completo;Solteiro(a);Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000);Aplicativos (Uber/99/InDrive);;;Sim;Sim;18/02/2023
