bloquinho,idade,faixaetaria,morador,estado,ufpais,pernoitar,quantaspernoites,meiodehospedagem,transporteparacidade,mesviagem,fonteinfocarnaval,gastohospedagem,faixagastohospedagem,gastoatrativos,faixagastoatrativos,gastoalimentacao,faixagastoalimentacao,gastotransporte,faixagastotransporte,gastofatansias,faixagastofatansias,gastocompras,faixagastocompras,gastoingressos,faixagastoingressos,gastooutros,faixagastooutros,gastototal,faixagastototal,pessoas_no_gasto,gastopercapto,faixagastopercapto,diascarnaval,gastomediodiario,faixagastomediodiario,gastomediodiariopercapto,faixagastomediodiariopercapto,infocarnaval,opiniaocarnaval,pioroupq,expectativas_carnaval,avaliacao_geral,banheiros,seguranca,precos,voltarcarnaval,alemdosblocos,patrocinador,genero,escolaridade,estadocivil,renda,faixarenda,rendamedia,transporteblocos,apoioLGBTQIA,fazparteLGBTQIA,data
SEXTA NINGUEM SABE,61,Idoso,Morador,Minas Gerais,Brasil,,,,,,,,,,,300,Médio,0,Muito baixo (zero),400,Médio,400,Médio,0,Muito baixo (zero),0,Muito baixo (zero),1100,Muito alto,1,1100,Muito alto,4,275,Médio,275,Médio,Instagram,Melhorou,,Atendeu plenamente,8,4,7,2,Sim,Precarnaval,Prefeitura,Feminino,Posgraduacao/ Mestrado/ Doutorado completo,Casado(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,A pe,Sim,Nao,2023-02-17
RODA DE TIMBAU,30,Adulto,Visitante,Minas Gerais,Brasil,Sim,5,Casa de Amigos/Parentes,Carro/Moto,Fevereiro,Internet,0,Muito baixo (zero),200,Médio,2500,Muito alto,300,Médio,0,Muito baixo (zero),0,Muito baixo (zero),300,Médio,0,Muito baixo (zero),3300,Muito alto,1,3300,Muito alto,5,660,Alto,660,Alto,Instagram,,,Atendeu plenamente,9,9,9,8,Sim,Eventos Privados,Prefeitura,Masculino,Posgraduacao/ Mestrado/ Doutorado completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,A pe,Sim,Sim,2023-02-17
SEXTA NINGUEM SABE,56,Meia-idade,Morador,Minas Gerais,Brasil,,,,,,,,,,,500,Médio,200,Médio,0,Muito baixo (zero),600,Alto,0,Muito baixo (zero),0,Muito baixo (zero),1300,Muito alto,1,1300,Muito alto,4,325,Médio,325,Médio,Outros sites,NR_NS,,NR_NS,8,6,6,5,Sim,Precarnaval,Prefeitura,Feminino,Ensino Medio completo,Solteiro(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,A pe,Sim,Nao,2023-02-17
SEXTA NINGUEM SABE,18,Adolescente,Morador,Minas Gerais,Brasil,,,,,,,,,,,60,Baixo,100,Baixo,50,Baixo,250,Médio,0,Muito baixo (zero),0,Muito baixo (zero),460,Médio,1,460,Médio,5,92,Baixo,92,Baixo,Twitter,,,Superou,10,10,6,5,Sim,Eventos Privados,Nao sabe,Masculino,Ensino Medio completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,Onibus coletivo,Sim,Sim,2023-02-17
RODA DE TIMBAU,37,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,750,Alto,150,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),900,Alto,2,450,Médio,5,180,Médio,90,Baixo,www.portalbelohorizonte.com.br,Nem melhorou nem piorou,,Atendeu plenamente,10,7,7,8,Sim,Precarnaval,Nao sabe,Masculino,Posgraduacao/ Mestrado/ Doutorado completo,Casado(a),Entre 7 SM e 10 SM (R$9.11401 a R$13.02000),Entre 7 e 10 SM,11067,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-17
SEXTA NINGUEM SABE,23,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,150,Médio,40,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),100,Baixo,290,Médio,1,290,Médio,4,72.5,Baixo,72.5,Baixo,Outros sites,Nem melhorou nem piorou,,Atendeu plenamente,8,2,8,2,Sim,Precarnaval,Ambev,Masculino,Ensino Medio completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,A pe,Sim,Nao,2023-02-17
RODA DE TIMBAU,31,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,750,Alto,250,Médio,1000,Alto,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),2000,Muito alto,1,2000,Muito alto,5,400,Médio,400,Médio,Instagram,NR_NS,,NR_NS,9,6,6,6,Sim,Nenhuma,Nao sabe,Feminino,Posgraduacao/ Mestrado/ Doutorado completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Aplicativos (Uber/99/InDrive),Sim,Sim,2023-02-17
SEXTA NINGUEM SABE,22,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,200,Médio,40,Baixo,60,Baixo,150,Médio,0,Muito baixo (zero),0,Muito baixo (zero),450,Médio,1,450,Médio,4,112.5,Médio,112.5,Médio,Instagram,Nem melhorou nem piorou,,Atendeu plenamente,10,2,3,3,Sim,Precarnaval,Nao sabe,Feminino,Ensino Medio completo,Solteiro(a),Entre 5 SM e 7 SM (R$6.51001 a R$ 9.11400),Entre 5 e 7 SM,7812,Onibus coletivo,Sim,Sim,2023-02-17
RODA DE TIMBAU,68,Idoso,Morador,Minas Gerais,Brasil,,,,,,,,,,,400,Médio,500,Médio,0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),0,Muito baixo (zero),900,Alto,1,900,Alto,8,112.5,Médio,112.5,Médio,www.portalbelohorizonte.com.br,Nem melhorou nem piorou,,Atendeu em parte,7,1,1,8,Sim,Precarnaval,Ambev,Feminino,Posgraduacao/ Mestrado/ Doutorado completo,Divorciado(a),Acima de 10 SM (R$ 13.02001),Acima de 10 SM,13020,Aplicativos (Uber/99/InDrive),Sim,Nao,2023-02-17
SEXTA NINGUEM SABE,22,Jovem,Morador,Minas Gerais,Brasil,,,,,,,,,,,40,Baixo,40,Baixo,0,Muito baixo (zero),100,Baixo,0,Muito baixo (zero),0,Muito baixo (zero),180,Médio,1,180,Médio,5,36,Baixo,36,Baixo,Amigos/Parentes,Nem melhorou nem piorou,,NR_NS,8,0,10,6,Sim,Precarnaval,Brahma,Masculino,Ensino Medio completo,Solteiro(a),Entre 3 SM e 5 SM (R$3.906 01 a R$6.51000),Entre 3 e 5 SM,5208,A pe,Sim,Sim,2023-02-17
SEXTA NINGUEM SABE,30,Adulto,Morador,Minas Gerais,Brasil,,,,,,,,,,,50,Baixo,0,Muito baixo (zero),60,Baixo,200,Médio,0,Muito baixo (zero),0,Muito baixo (zero),310,Médio,1,310,Médio,4,77.5,Baixo,77.5,Baixo,Outros sites,Melhorou,,Atendeu plenamente,6,4,6,2,Sim,Precarnaval,Alguma cerveja,Masculino,Ensino Medio completo,Solteiro(a),Entre 1 SM e 3 SM (R$ 1.30201 a R$3.90600),Entre 1 e 3 SM,2604,A pe,Sim,Nao,2023-02-17
